Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2000,1.7271676,0.00029700148,3.1598077,1.846218481785109,1.846218485854754,123.92436974789916,0.88702947,0.06655636
4000,1.680946,0.00029100152,2.0382664,3.9187499802559613,3.918749997485429,191.9875,0.2459668,0.06408701
6000,1.6226155,0.00028500153,2.1136131,6.5326923212179775,6.532692306746657,286.63461538461536,0.23507936,0.068029046
8000,1.5913267,0.00027900154,2.2735188,10.466666655106978,10.466666664589535,419.75757575757575,0.22504061,0.06843197
10000,1.601623,0.00027300153,2.9800897,None,None,None,0.22028975,0.07112901
12000,1.5407488,0.0002670015,3.1842222,63.89999997615814,63.899999998509884,2530.0,0.24529381,0.067817554
14000,1.5193545,0.00026100152,2.5596378,127.16666666666667,127.16666666418314,6271.333333333333,0.15269053,0.06810869
16000,1.5102229,0.00025500153,2.3017428,54.09166665871938,54.09166666554908,2739.8333333333335,0.1696734,0.06896544
18000,1.4294766,0.00024900152,2.367349,71.5,71.5,2780.0,0.14679866,0.07165375
20000,1.4199773,0.00024300153,2.1805727,106.79999995231628,106.79999999701977,4344.0,0.12916718,0.06713464
22000,1.4055834,0.00023700154,1.6714407,None,None,None,0.11852536,0.07165373
24000,1.3995316,0.00023100156,1.6022531,126.16666666666667,126.16666666666667,7670.333333333333,0.11310038,0.071188465
26000,1.3708512,0.00022500154,1.8458171,138.70000004768372,138.69999999552965,7938.0,0.14971486,0.07154713
28000,1.3720111,0.00021900155,1.856053,145.39999985694885,145.3999999910593,7938.0,0.14319398,0.071948804
30000,1.292761,0.00021300155,1.6542823,None,None,None,0.09566962,0.06690769
32000,1.2987167,0.00020700155,1.6254592,144.31666666269302,144.3166666639348,7838.5,0.13806279,0.07177728
34000,1.3187104,0.00020100156,2.140466,140.0,140.0,7938.0,0.14906049,0.069996856
36000,1.2905185,0.00019500156,2.0432918,142.0,142.0,7938.0,0.1165039,0.06906642
38000,1.2792202,0.00018900156,1.5079333,None,None,None,0.10143976,0.06834935
40000,1.2735919,0.00018300157,1.5864868,147.2999999920527,147.29999999329448,7938.0,0.12566641,0.06830246
42000,1.234515,0.00017700157,2.0306957,132.0,132.0,7039.0,0.15083112,0.07070991
44000,1.2480103,0.00017100156,2.0056703,144.0,144.0,7938.0,0.13009685,0.07178642
46000,1.213002,0.00016500158,1.738373,None,None,None,0.09348415,0.071337596
48000,1.087615,0.00015900156,1.5864183,142.74999998013178,142.7499999962747,7938.0,0.11462321,0.067986384
50000,1.1158987,0.00015300157,2.0176225,153.0,153.0,7938.0,0.1512225,0.06668021
52000,1.1970888,0.00014700157,1.9658821,141.0,141.0,7938.0,0.13928232,0.06712932
54000,1.2417197,0.00014100157,1.7120585,None,None,None,0.096931264,0.070590146
56000,1.2402444,0.00013500158,1.6107432,148.37142859186446,148.37142857057708,7691.714285714285,0.13160151,0.06887272
58000,1.1801448,0.00012900158,1.975883,None,None,None,0.12779224,0.06890363
60000,1.2201499,0.00012300158,1.9665555,118.5,118.5,5975.5,0.1351955,0.068790354
62000,1.137537,0.000117001575,1.8159398,None,None,None,0.09397798,0.067987345
64000,1.1821902,0.00011100158,1.7737163,152.73333330949148,152.73333333184323,7938.0,0.13399066,0.06788027
66000,1.2180995,0.000105001585,1.9596343,None,None,None,0.13262196,0.06619996
68000,1.1304634,9.900158e-05,1.8374236,148.0,148.0,7938.0,0.13323484,0.06957314
70000,1.1295524,9.300158e-05,1.7616155,None,None,None,0.09625217,0.06842043
72000,1.1311721,8.7001594e-05,1.6168567,149.0,149.0,7938.0,0.13333264,0.07006472
74000,1.1403152,8.1001584e-05,1.8744508,None,None,None,0.14534052,0.065858774
76000,1.0142691,7.500159e-05,1.768243,149.0,149.0,7938.0,0.115451396,0.06916201
78000,1.0001799,6.9001595e-05,1.5581545,None,None,None,0.108028606,0.06880265
80000,1.0472561,6.3001586e-05,1.5042164,141.65000001589456,141.64999999975166,7938.0,0.13058367,0.06926099
82000,0.9837707,5.700159e-05,1.6997775,None,None,None,0.15001467,0.068109386
84000,0.95049244,5.100159e-05,1.6123077,142.5,142.5,7938.0,0.11468446,0.065757945
86000,0.9598515,4.5001594e-05,1.5679829,None,None,None,0.104143605,0.07036273
88000,0.97554344,3.9001596e-05,1.558434,140.4833333492279,140.48333333308497,7938.0,0.120257795,0.066484034
90000,1.0317054,3.3001597e-05,1.8255149,None,None,None,0.1313801,0.06769316
92000,0.9582669,2.70016e-05,1.8037453,138.0,138.0,7938.0,0.1213094,0.06921637
94000,0.8783764,2.1001604e-05,1.6840881,None,None,None,0.10446475,0.06828701
96000,0.94169384,1.5001603e-05,1.594291,145.4833333492279,145.48333333308497,7938.0,0.1365687,0.067762
98000,0.9183103,9.001606e-06,1.8054664,None,None,None,0.13598709,0.06674351
100000,0.8498939,3.0016067e-06,1.8384923,139.5,139.5,7938.0,0.1396564,0.07120195
